email,razao_social,nome_fantasia,cnpj,uf,municipio,situacao_cadastral,exemplo_produto_licitado
comercial@agriculte.com.br,AGRICULTE - INDUSTRIA E COMERCIO DE MAQUINAS E IMPLEMENTOS AGRICOLAS LTDA.,AGRICULTE,11097671000139,SC,Erval Velho,Ativa,AQUISIÇÃO DE EQUIPAMENTOS AGRÍCOLAS.
contato@lumiarcontabilidade.com.br,IKIGAI COMERCIO LTDA,IKIGAI COMERCIO,50160181000191,MG,Lagoa Santa,Ativa,AQUISIÇÃO DE EQUIPAMENTOS AGRICOLAS
joaoterraviva@gmail.com,TERRAMAQ INSUMOS AGRICOLAS LTDA,TERRAMAQ MAQUINAS E IMPLEMENTOS AGRICOLAS,36929543000135,PR,Realeza,Ativa,AQUISIÇÃO DE EQUIPAMENTOS AGRICOLAS
cleberudo@yahoo.com.br,CLEBER UDO LEIER,ESCOLA DE ARTES E CULTURA AFRO-BRASILEIRA,22667037000100,SC,Caçador,Ativa,"CREDENCIAMENTO PARA CONTRATAÇÃO DE ARTISTAS, OFICINEIROS, INSTRUTORES, PROFESSORES, MESTRES DE SABERES, PROFISSIONAIS LI"
thurowdarlisson@gmail.com,DARLISSON DUMMER THUROW LTDA,,31939836000180,RS,Dom Feliciano,Ativa,AQUISIÇÃO DE EQUIPAMENTOS AGRÍCOLAS.
construfrai@gmail.com,NOSSA PAVIMENTACAO E OBRAS LTDA,NOSSA PAVIMENTACAO E OBRAS,27841750000142,SC,Fraiburgo,Ativa,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A EXECUÇÃO DA AMPLIAÇÃO DA DRENAGEM PLUVIAL NO CENTRO DO MUNICÍPIO DE PINHEIRO
exito-construcoes@hotmail.com,EXITO CONSTRUCOES CIVIS LTDA,EXITO CONSTRUCOES CIVIS,02091041000166,SC,Itajaí,Ativa,EXECUÇÃO DE OBRAS PARA AMPLIAÇÃO DO CAIC - C.E. CACILDO ROMAGNANI
crediane.luiza@uol.com.br,MEGA ARTIGOS DE FESTAS LTDA,MEGA FESTAS,41094071000188,GO,Maurilândia,Ativa,Contratação de empresa especializada e habilitada para o fornecimento de materiais decorativos para realização de evento
sateliterepresentacoesdf@gmail.com,SATELITE COMERCIO E REPRESENTACOES LTDA,SATELITE COMERCIO E REPRESENTACAO,37920249000125,DF,Brasília,Ativa,Aquisição de invólucros cadavéricos
financeiro@grupopense.com.br,LOJA STAR PLUS LTDA,LOJA STAR PLUS LTDA,09594810000198,MS,Itaporã,Ativa,O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Al
inovacaoempreendimentos2020@gmail.com,INOVACAO EMPREENDIMENTO LTDA,INOVACAO EMPREENDIMENTOS,21268253000110,RN,Ipanguaçu,Ativa,CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ENGENHARIA PARA CONSTRUÇÃO DE UMA CRECHE TIPO II PADRÃO FNDE NO MUNCIPIO DE GALI
renasceratacarejo@gmail.com,ARLF SUPERMERCADOS LTDA,,63029909000192,GO,Maurilândia,Ativa,"Contratação de empresa especializada e habilitada para o fornecimento de cestas básicas de tamanho G, destinadas ao aten"
francielevkovalski@hotmail.com,FRANCIELE VISCARDI KOVALSKI LTDA,FORTALEZA BRASIL,49206369000144,MS,Dourados,Ativa,O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Al
comercialcb07@gmail.com,MACRI ALIMENTOS LTDA,MACRI ALIMENTOS,08647485000111,MS,Dourados,Ativa,O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Al
contabilgoulart10@gmail.com,COMERCIAL VULTY LTDA,COMERCIAL VULTY,51040151000104,MS,Antônio João,Ativa,O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Al
marcos.infranegocios@hotmail.com,BASTOS COMERCIO VAREJISTA DE PRODUTOS ALIMENTICIOS LTDA.,BASTOS EMBALAGENS,08449152000188,MS,Campo Grande,Ativa,O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Al
fmartacampos@gmail.com,GRB COMERCIO SERVICOS E TRANSPORTE LTDA,GRB COMERCIO E SERVICO,24702112000152,MS,Campo Grande,Ativa,O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Al
map_atendimento@hotmail.com,D.E.S.S LICITACOES LTDA,,34157451000159,MS,Campo Grande,Ativa,O objeto do presente Contrato é a aquisição de gêneros alimentícios destinados ao atendimento do Programa Nacional de Al
cassiocosta1978@gmail.com,CC CONSTRUCOES E SERVICOS LTDA,CC CONSTRUCOES,27234752000173,CE,Fortaleza,Ativa,"SERVIÇOS DE ENGENHARIA PARA REQUALIFICAÇÃO DAS INSTALAÇÕES ELÉTRICAS, INSTALAÇÃO DE DRENOS EMBUTIDOS, CORRIMÃOS E RAMPAS"
ytalomenezes.licita@gmail.com,65.002.675 JOSE YTALO DE MENEZES PEREIRA,,65002675000115,CE,Limoeiro do Norte,Ativa,Aquisição de Material de Processamento de Dados para EEMTI Manuel Satiro - JAGUARUANA - CREDE 10
aevidal2008@gmail.com,ANTONIO EDGLESIO VIDAL,,20665473000115,CE,Porteiras,Ativa,"REFORMA ELÉTRICA DO ALIMENTADOR DO QFAC02, DO QD-QUADRA, QD-BOMBAS,  ILUMINAÇÃO EXTERNA E INSTALAÇÃO DE PONTOS ELÉTRICOS"
bandeira1atacarejo@gmail.com,BANDEIRA ATACAREJO LTDA,BANDEIRA ATACAREJO,12306779000157,CE,Quixeré,Ativa,"Aquisição de gêneros de alimentação (água mineral, café e açúcar) tem por finalidade garantir condições adequadas de sal"
